Feature,APS_IE,APS_NS,APS_TF,APS_JP,Mean_APS
readability_score,0.019404080944544783,0.04659783613091993,0.02843084125229158,0.038091757755080495,0.033131129020709194
pronoun_ratio,0.006145834233243892,0.020752368101350144,0.039510834456629146,0.02486274208793651,0.022817944719789922
lexical_diversity,0.013637846273752679,0.012328346055183351,0.03718644364651907,0.001121979887979805,0.016068653965858725
negation_count,0.017519913395145772,0.0024316007263913714,0.030692892084291726,0.012188967490668584,0.015708343424124364
planning,0.0029075958246295324,0.012104521633894224,0.024315617504573374,0.020557595680177947,0.01497133266081877
modality_score,0.011762473813214266,0.006087519239259104,0.028493816508965736,0.006791511638709081,0.013283830300037045
uncertainty,0.021853657178807794,0.001040174845030377,0.023456104784285937,0.006378293211885803,0.013182057505002476
emotion_intensity,0.010949087006781287,0.0051059294735465105,0.022721502748316035,0.00533500950211749,0.011027882182690331
reasoning,0.0009418866671800135,0.01475687584534592,0.01689168075332403,0.0009938067633427237,0.008396062507298171
sentence_length,0.0058737674043495515,0.0073221049571600095,0.0011654536099948846,9.762786646516342e-05,0.003614738459492402
